"NGenes"	"PropDown"	"PropUp"	"Direction"	"PValue"	"FDR"	"PValue.Mixed"	"FDR.Mixed"
"HALLMARK_KRAS_SIGNALING_DN"	707	0.234794908062235	0.0862800565770863	"Down"	0.008	0.229166666666667	0.042	0.277016129032258
"HALLMARK_GLYCOLYSIS"	636	0.169811320754717	0.133647798742138	"Down"	0.01	0.229166666666667	0.08	0.277016129032258
"HALLMARK_INFLAMMATORY_RESPONSE"	569	0.21792618629174	0.0966608084358524	"Down"	0.014	0.229166666666667	0.053	0.277016129032258
"HALLMARK_IL6_JAK_STAT3_SIGNALING"	212	0.216981132075472	0.0707547169811321	"Down"	0.0235	0.290625	0.1055	0.277016129032258
"HALLMARK_PI3K_AKT_MTOR_SIGNALING"	401	0.117206982543641	0.159600997506234	"Up"	0.041	0.38125	0.1575	0.277016129032258
"HALLMARK_APICAL_SURFACE"	148	0.216216216216216	0.0743243243243243	"Down"	0.046	0.38125	0.0545	0.277016129032258
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE"	351	0.105413105413105	0.162393162393162	"Up"	0.106	0.618055555555556	0.1305	0.277016129032258
"HALLMARK_PROTEIN_SECRETION"	342	0.116959064327485	0.187134502923977	"Up"	0.109	0.618055555555556	0.1335	0.277016129032258
"HALLMARK_HEME_METABOLISM"	640	0.125	0.159375	"Up"	0.1115	0.618055555555556	0.18	0.280859375
"HALLMARK_SPERMATOGENESIS"	458	0.176855895196507	0.0938864628820961	"Down"	0.146	0.624305555555556	0.103	0.277016129032258
"HALLMARK_COAGULATION"	368	0.1875	0.0923913043478261	"Down"	0.1465	0.624305555555556	0.0995	0.277016129032258
"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	529	0.151228733459357	0.10586011342155	"Down"	0.151	0.624305555555556	0.172	0.277016129032258
"HALLMARK_ESTROGEN_RESPONSE_EARLY"	662	0.187311178247734	0.119335347432024	"Down"	0.174	0.624305555555556	0.1055	0.277016129032258
"HALLMARK_KRAS_SIGNALING_UP"	640	0.1890625	0.1	"Down"	0.1805	0.624305555555556	0.122	0.277016129032258
"HALLMARK_BILE_ACID_METABOLISM"	272	0.172794117647059	0.0919117647058824	"Down"	0.2015	0.624305555555556	0.159	0.277016129032258
"HALLMARK_DNA_REPAIR"	384	0.0755208333333333	0.127604166666667	"Up"	0.205	0.624305555555556	0.157	0.277016129032258
"HALLMARK_ALLOGRAFT_REJECTION"	554	0.191335740072202	0.0992779783393502	"Down"	0.2215	0.624305555555556	0.063	0.277016129032258
"HALLMARK_ESTROGEN_RESPONSE_LATE"	571	0.164623467600701	0.0893169877408056	"Down"	0.225	0.624305555555556	0.1625	0.277016129032258
"HALLMARK_XENOBIOTIC_METABOLISM"	563	0.152753108348135	0.101243339253996	"Down"	0.278	0.730921052631579	0.1695	0.277016129032258
"HALLMARK_IL2_STAT5_SIGNALING"	627	0.169059011164274	0.106858054226475	"Down"	0.299	0.733928571428571	0.14	0.277016129032258
"HALLMARK_TGF_BETA_SIGNALING"	233	0.107296137339056	0.141630901287554	"Up"	0.3085	0.733928571428571	0.3005	0.326358695652174
"HALLMARK_HEDGEHOG_SIGNALING"	141	0.156028368794326	0.0780141843971631	"Down"	0.3265	0.741145833333333	0.3425	0.356510416666667
"HALLMARK_MYC_TARGETS_V2"	129	0.116279069767442	0.201550387596899	"Up"	0.3525	0.741145833333333	0.069	0.277016129032258
"HALLMARK_PANCREAS_BETA_CELLS"	135	0.185185185185185	0.0740740740740741	"Down"	0.356	0.741145833333333	0.1035	0.277016129032258
"HALLMARK_MYC_TARGETS_V1"	624	0.0657051282051282	0.139423076923077	"Up"	0.3935	0.7865	0.264	0.311079545454546
"HALLMARK_COMPLEMENT"	666	0.168168168168168	0.136636636636637	"Down"	0.411	0.789903846153846	0.071	0.277016129032258
"HALLMARK_APICAL_JUNCTION"	743	0.179004037685061	0.115746971736205	"Down"	0.4555	0.812946428571429	0.0855	0.277016129032258
"HALLMARK_G2M_CHECKPOINT"	722	0.121883656509695	0.153739612188366	"Up"	0.4555	0.812946428571429	0.0995	0.277016129032258
"HALLMARK_NOTCH_SIGNALING"	123	0.121951219512195	0.195121951219512	"Up"	0.474	0.816810344827586	0.057	0.277016129032258
"HALLMARK_UV_RESPONSE_DN"	763	0.141546526867628	0.146788990825688	"Up"	0.4925	0.820416666666667	0.13	0.277016129032258
"HALLMARK_MYOGENESIS"	705	0.131914893617021	0.154609929078014	"Up"	0.5765	0.880965909090909	0.235	0.300961538461538
"HALLMARK_E2F_TARGETS"	594	0.127946127946128	0.126262626262626	"Up"	0.6015	0.880965909090909	0.0985	0.277016129032258
"HALLMARK_UV_RESPONSE_UP"	615	0.130081300813008	0.128455284552846	"Down"	0.616	0.880965909090909	0.1595	0.277016129032258
"HALLMARK_FATTY_ACID_METABOLISM"	447	0.131991051454139	0.105145413870246	"Down"	0.626	0.880965909090909	0.2985	0.326358695652174
"HALLMARK_ANDROGEN_RESPONSE"	404	0.126237623762376	0.141089108910891	"Up"	0.666	0.880965909090909	0.2	0.289642857142857
"HALLMARK_ADIPOGENESIS"	661	0.104387291981846	0.116490166414523	"Up"	0.6755	0.880965909090909	0.3595	0.366581632653061
"HALLMARK_APOPTOSIS"	485	0.144329896907216	0.121649484536082	"Down"	0.681	0.880965909090909	0.199	0.289642857142857
"HALLMARK_PEROXISOME"	344	0.116279069767442	0.11046511627907	"Down"	0.7265	0.880965909090909	0.2315	0.300961538461538
"HALLMARK_CHOLESTEROL_HOMEOSTASIS"	205	0.126829268292683	0.117073170731707	"Up"	0.732	0.880965909090909	0.2175	0.300961538461538
"HALLMARK_MITOTIC_SPINDLE"	844	0.135071090047393	0.131516587677725	"Up"	0.737	0.880965909090909	0.104	0.277016129032258
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	643	0.144634525660964	0.118195956454121	"Down"	0.7445	0.880965909090909	0.274	0.311079545454546
"HALLMARK_INTERFERON_GAMMA_RESPONSE"	523	0.145315487571702	0.105162523900574	"Down"	0.7505	0.880965909090909	0.2515	0.307012195121951
"HALLMARK_WNT_BETA_CATENIN_SIGNALING"	155	0.154838709677419	0.154838709677419	"Up"	0.761	0.880965909090909	0.0715	0.277016129032258
"HALLMARK_MTORC1_SIGNALING"	645	0.122480620155039	0.122480620155039	"Up"	0.7755	0.880965909090909	0.252	0.307012195121951
"HALLMARK_INTERFERON_ALPHA_RESPONSE"	260	0.134615384615385	0.0961538461538462	"Down"	0.866	0.928316326530612	0.3335	0.354521276595745
"HALLMARK_OXIDATIVE_PHOSPHORYLATION"	465	0.0860215053763441	0.0580645161290323	"Down"	0.866	0.928316326530612	0.518	0.518
"HALLMARK_ANGIOGENESIS"	159	0.176100628930818	0.157232704402516	"Down"	0.884	0.928316326530612	0.1495	0.277016129032258
"HALLMARK_HYPOXIA"	663	0.138763197586727	0.134238310708899	"Down"	0.8915	0.928316326530612	0.203	0.289642857142857
"HALLMARK_P53_PATHWAY"	621	0.115942028985507	0.109500805152979	"Up"	0.91	0.928316326530612	0.2325	0.300961538461538
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY"	167	0.107784431137725	0.0718562874251497	"Down"	0.985	0.985	0.2715	0.311079545454546
