"NGenes"	"Direction"	"PValue"	"FDR"
"HALLMARK_MYC_TARGETS_V1"	624	"Up"	0.00370870064464507	0.112117026903919
"HALLMARK_PROTEIN_SECRETION"	342	"Up"	0.00448468107615676	0.112117026903919
"HALLMARK_PI3K_AKT_MTOR_SIGNALING"	401	"Up"	0.0144387872764423	0.167811129876242
"HALLMARK_DNA_REPAIR"	384	"Up"	0.0157871770644887	0.167811129876242
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE"	351	"Up"	0.0167811129876242	0.167811129876242
"HALLMARK_MYC_TARGETS_V2"	129	"Up"	0.030166702574952	0.233292784745073
"HALLMARK_HEME_METABOLISM"	640	"Up"	0.0326609898643102	0.233292784745073
"HALLMARK_TGF_BETA_SIGNALING"	233	"Up"	0.0598635163799878	0.286049336909145
"HALLMARK_MYOGENESIS"	705	"Up"	0.0605462147943889	0.286049336909145
"HALLMARK_ADIPOGENESIS"	661	"Up"	0.0620649381368644	0.286049336909145
"HALLMARK_UV_RESPONSE_DN"	763	"Up"	0.0795013170188878	0.286049336909145
"HALLMARK_KRAS_SIGNALING_DN"	707	"Down"	0.0833596228212865	0.286049336909145
"HALLMARK_G2M_CHECKPOINT"	722	"Up"	0.0839345571455039	0.286049336909145
"HALLMARK_INFLAMMATORY_RESPONSE"	569	"Down"	0.0849398697625359	0.286049336909145
"HALLMARK_IL6_JAK_STAT3_SIGNALING"	212	"Down"	0.0858148010727435	0.286049336909145
"HALLMARK_E2F_TARGETS"	594	"Up"	0.0989379563117723	0.300178488090994
"HALLMARK_MITOTIC_SPINDLE"	844	"Up"	0.115463276488707	0.300178488090994
"HALLMARK_ANDROGEN_RESPONSE"	404	"Up"	0.116169333032868	0.300178488090994
"HALLMARK_MTORC1_SIGNALING"	645	"Up"	0.121135601508714	0.300178488090994
"HALLMARK_COAGULATION"	368	"Down"	0.121315189595859	0.300178488090994
"HALLMARK_NOTCH_SIGNALING"	123	"Up"	0.126074964998218	0.300178488090994
"HALLMARK_APICAL_SURFACE"	148	"Down"	0.141595080728799	0.321807001656362
"HALLMARK_CHOLESTEROL_HOMEOSTASIS"	205	"Up"	0.181650129853323	0.385107022026309
"HALLMARK_P53_PATHWAY"	621	"Up"	0.184851370572629	0.385107022026309
"HALLMARK_WNT_BETA_CATENIN_SIGNALING"	155	"Up"	0.194613792773402	0.389227585546803
"HALLMARK_HYPOXIA"	663	"Up"	0.228188554174721	0.438824142643694
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY"	167	"Up"	0.30004656444764	0.555641786014148
"HALLMARK_UV_RESPONSE_UP"	615	"Up"	0.36991694180904	0.660565967516143
"HALLMARK_ALLOGRAFT_REJECTION"	554	"Down"	0.41612950130575	0.678910262467077
"HALLMARK_PEROXISOME"	344	"Up"	0.419755783030987	0.678910262467077
"HALLMARK_ANGIOGENESIS"	159	"Up"	0.440481672485102	0.678910262467077
"HALLMARK_OXIDATIVE_PHOSPHORYLATION"	465	"Up"	0.440948273461675	0.678910262467077
"HALLMARK_APOPTOSIS"	485	"Up"	0.448080773228271	0.678910262467077
"HALLMARK_GLYCOLYSIS"	636	"Up"	0.462763118827309	0.680533998275454
"HALLMARK_INTERFERON_ALPHA_RESPONSE"	260	"Up"	0.511564490840456	0.719288352549608
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	643	"Up"	0.517887613835718	0.719288352549608
"HALLMARK_INTERFERON_GAMMA_RESPONSE"	523	"Up"	0.555309149870084	0.750417770094708
"HALLMARK_BILE_ACID_METABOLISM"	272	"Down"	0.570840150167846	0.751105460747166
"HALLMARK_KRAS_SIGNALING_UP"	640	"Down"	0.610617313215739	0.782842709250947
"HALLMARK_FATTY_ACID_METABOLISM"	447	"Up"	0.665348524586657	0.821554878250067
"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	529	"Up"	0.679647831739184	0.821554878250067
"HALLMARK_COMPLEMENT"	666	"Up"	0.699009800084021	0.821554878250067
"HALLMARK_HEDGEHOG_SIGNALING"	141	"Down"	0.706537195295058	0.821554878250067
"HALLMARK_ESTROGEN_RESPONSE_LATE"	571	"Down"	0.789993020473492	0.897719341447149
"HALLMARK_IL2_STAT5_SIGNALING"	627	"Down"	0.819523418117391	0.903915284641015
"HALLMARK_APICAL_JUNCTION"	743	"Up"	0.831602061869734	0.903915284641015
"HALLMARK_XENOBIOTIC_METABOLISM"	563	"Up"	0.938779356014132	0.9829218414973
"HALLMARK_PANCREAS_BETA_CELLS"	135	"Down"	0.943604967837408	0.9829218414973
"HALLMARK_ESTROGEN_RESPONSE_EARLY"	662	"Down"	0.969247268188051	0.989027824681685
"HALLMARK_SPERMATOGENESIS"	458	"Up"	0.993487182583736	0.993487182583736
