"NGenes"	"PropDown"	"PropUp"	"Direction"	"PValue"	"FDR"	"PValue.Mixed"	"FDR.Mixed"
"HALLMARK_GLYCOLYSIS"	636	0.169811320754717	0.133647798742138	"Down"	0.008	0.229166666666667	0.0855	0.2775
"HALLMARK_INFLAMMATORY_RESPONSE"	569	0.21792618629174	0.0966608084358524	"Down"	0.0125	0.229166666666667	0.045	0.2775
"HALLMARK_KRAS_SIGNALING_DN"	707	0.234794908062235	0.0862800565770863	"Down"	0.014	0.229166666666667	0.0335	0.2775
"HALLMARK_IL6_JAK_STAT3_SIGNALING"	212	0.216981132075472	0.0707547169811321	"Down"	0.0275	0.340625	0.104	0.2775
"HALLMARK_PI3K_AKT_MTOR_SIGNALING"	401	0.117206982543641	0.159600997506234	"Up"	0.041	0.4075	0.145	0.2775
"HALLMARK_APICAL_SURFACE"	148	0.216216216216216	0.0743243243243243	"Down"	0.0535	0.44375	0.061	0.2775
"HALLMARK_HEME_METABOLISM"	640	0.125	0.159375	"Up"	0.1025	0.584722222222222	0.1745	0.2775
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE"	351	0.105413105413105	0.162393162393162	"Up"	0.105	0.584722222222222	0.145	0.2775
"HALLMARK_PROTEIN_SECRETION"	342	0.116959064327485	0.187134502923977	"Up"	0.1055	0.584722222222222	0.135	0.2775
"HALLMARK_SPERMATOGENESIS"	458	0.176855895196507	0.0938864628820961	"Down"	0.132	0.584821428571429	0.108	0.2775
"HALLMARK_COAGULATION"	368	0.1875	0.0923913043478261	"Down"	0.1575	0.584821428571429	0.098	0.2775
"HALLMARK_KRAS_SIGNALING_UP"	640	0.1890625	0.1	"Down"	0.161	0.584821428571429	0.1045	0.2775
"HALLMARK_ESTROGEN_RESPONSE_EARLY"	662	0.187311178247734	0.119335347432024	"Down"	0.162	0.584821428571429	0.098	0.2775
"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	529	0.151228733459357	0.10586011342155	"Down"	0.164	0.584821428571429	0.1835	0.2775
"HALLMARK_DNA_REPAIR"	384	0.0755208333333333	0.127604166666667	"Up"	0.2	0.64609375	0.181	0.2775
"HALLMARK_BILE_ACID_METABOLISM"	272	0.172794117647059	0.0919117647058824	"Down"	0.207	0.64609375	0.1395	0.2775
"HALLMARK_ALLOGRAFT_REJECTION"	554	0.191335740072202	0.0992779783393502	"Down"	0.2375	0.675694444444444	0.0735	0.2775
"HALLMARK_ESTROGEN_RESPONSE_LATE"	571	0.164623467600701	0.0893169877408056	"Down"	0.2435	0.675694444444444	0.184	0.2775
"HALLMARK_XENOBIOTIC_METABOLISM"	563	0.152753108348135	0.101243339253996	"Down"	0.274	0.720394736842105	0.1595	0.2775
"HALLMARK_TGF_BETA_SIGNALING"	233	0.107296137339056	0.141630901287554	"Up"	0.3155	0.741145833333333	0.308	0.334510869565217
"HALLMARK_IL2_STAT5_SIGNALING"	627	0.169059011164274	0.106858054226475	"Down"	0.3265	0.741145833333333	0.158	0.2775
"HALLMARK_HEDGEHOG_SIGNALING"	141	0.156028368794326	0.0780141843971631	"Down"	0.343	0.741145833333333	0.3585	0.365561224489796
"HALLMARK_PANCREAS_BETA_CELLS"	135	0.185185185185185	0.0740740740740741	"Down"	0.345	0.741145833333333	0.1105	0.2775
"HALLMARK_MYC_TARGETS_V2"	129	0.116279069767442	0.201550387596899	"Up"	0.356	0.741145833333333	0.0765	0.2775
"HALLMARK_MYC_TARGETS_V1"	624	0.0657051282051282	0.139423076923077	"Up"	0.3735	0.7465	0.286	0.324715909090909
"HALLMARK_COMPLEMENT"	666	0.168168168168168	0.136636636636637	"Down"	0.4025	0.773557692307692	0.0705	0.2775
"HALLMARK_G2M_CHECKPOINT"	722	0.121883656509695	0.153739612188366	"Up"	0.4325	0.781696428571429	0.086	0.2775
"HALLMARK_APICAL_JUNCTION"	743	0.179004037685061	0.115746971736205	"Down"	0.438	0.781696428571429	0.0855	0.2775
"HALLMARK_NOTCH_SIGNALING"	123	0.121951219512195	0.195121951219512	"Up"	0.4895	0.829583333333333	0.061	0.2775
"HALLMARK_UV_RESPONSE_DN"	763	0.141546526867628	0.146788990825688	"Up"	0.498	0.829583333333333	0.1345	0.2775
"HALLMARK_MYOGENESIS"	705	0.131914893617021	0.154609929078014	"Up"	0.585	0.880397727272727	0.24	0.297256097560976
"HALLMARK_UV_RESPONSE_UP"	615	0.130081300813008	0.128455284552846	"Down"	0.607	0.880397727272727	0.161	0.2775
"HALLMARK_FATTY_ACID_METABOLISM"	447	0.131991051454139	0.105145413870246	"Down"	0.6105	0.880397727272727	0.3035	0.334510869565217
"HALLMARK_E2F_TARGETS"	594	0.127946127946128	0.126262626262626	"Up"	0.6155	0.880397727272727	0.0885	0.2775
"HALLMARK_ADIPOGENESIS"	661	0.104387291981846	0.116490166414523	"Up"	0.6655	0.880397727272727	0.345	0.365561224489796
"HALLMARK_ANDROGEN_RESPONSE"	404	0.126237623762376	0.141089108910891	"Up"	0.675	0.880397727272727	0.1825	0.2775
"HALLMARK_APOPTOSIS"	485	0.144329896907216	0.121649484536082	"Down"	0.6975	0.880397727272727	0.1935	0.2775
