"NGenes"	"Up"	"Down"	"Mixed"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	529	0.2844	0.7157	0.939
"HALLMARK_HYPOXIA"	663	0.0563	0.9438	0.8782
"HALLMARK_CHOLESTEROL_HOMEOSTASIS"	205	0.0548	0.9453	0.8769
"HALLMARK_MITOTIC_SPINDLE"	844	0.1102	0.8899	0.8873
"HALLMARK_WNT_BETA_CATENIN_SIGNALING"	155	0.1174	0.8827	0.4092
"HALLMARK_TGF_BETA_SIGNALING"	233	0.0452	0.9549	0.9778
"HALLMARK_IL6_JAK_STAT3_SIGNALING"	212	0.9647	0.0354	0.6144
"HALLMARK_DNA_REPAIR"	384	0.0208	0.9793	0.9919
"HALLMARK_G2M_CHECKPOINT"	722	0.0817	0.9184	0.7979
"HALLMARK_APOPTOSIS"	485	0.29	0.7102	0.9267
"HALLMARK_NOTCH_SIGNALING"	123	0.0944	0.9057	0.3056
"HALLMARK_ADIPOGENESIS"	661	0.1348	0.8653	0.9949
"HALLMARK_ESTROGEN_RESPONSE_EARLY"	662	0.5286	0.4715	0.8069
"HALLMARK_ESTROGEN_RESPONSE_LATE"	571	0.5999	0.4002	0.9883
"HALLMARK_ANDROGEN_RESPONSE"	404	0.0564	0.9437	0.9121
"HALLMARK_MYOGENESIS"	705	0.1009	0.8992	0.8558
"HALLMARK_PROTEIN_SECRETION"	342	0.0186	0.9815	0.5315
"HALLMARK_INTERFERON_ALPHA_RESPONSE"	260	0.4134	0.5867	0.8851
"HALLMARK_INTERFERON_GAMMA_RESPONSE"	523	0.397	0.6031	0.9519
"HALLMARK_APICAL_JUNCTION"	743	0.422	0.5781	0.7213
"HALLMARK_APICAL_SURFACE"	148	0.9051	0.095	0.1595
"HALLMARK_HEDGEHOG_SIGNALING"	141	0.5706	0.4295	0.9934
"HALLMARK_COMPLEMENT"	666	0.3584	0.6417	0.2075
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE"	351	0.0242	0.9759	0.7039
"HALLMARK_PI3K_AKT_MTOR_SIGNALING"	401	0.01	0.9901	0.7698
"HALLMARK_MTORC1_SIGNALING"	645	0.1191	0.881	0.9481
"HALLMARK_E2F_TARGETS"	594	0.0864	0.9137	0.9498
"HALLMARK_MYC_TARGETS_V1"	624	0.117	0.8831	0.9909
"HALLMARK_MYC_TARGETS_V2"	129	0.0885	0.9116	0.6873
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	643	0.3768	0.6233	0.9568
"HALLMARK_INFLAMMATORY_RESPONSE"	569	0.9445	0.0556	0.0933
"HALLMARK_XENOBIOTIC_METABOLISM"	563	0.4731	0.527	0.8958
"HALLMARK_FATTY_ACID_METABOLISM"	447	0.4027	0.5974	0.978
"HALLMARK_OXIDATIVE_PHOSPHORYLATION"	465	0.3982	0.6019	0.9927
"HALLMARK_GLYCOLYSIS"	636	0.1043	0.8958	0.5092
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY"	167	0.1607	0.8394	0.9757
"HALLMARK_P53_PATHWAY"	621	0.0167	0.9834	0.9916
"HALLMARK_UV_RESPONSE_UP"	615	0.1632	0.8369	0.9125
"HALLMARK_UV_RESPONSE_DN"	763	0.0434	0.9567	0.9347
"HALLMARK_ANGIOGENESIS"	159	0.3762	0.6239	0.4689
"HALLMARK_HEME_METABOLISM"	640	0.0012	0.9989	0.77
"HALLMARK_COAGULATION"	368	0.8196	0.1805	0.659
"HALLMARK_IL2_STAT5_SIGNALING"	627	0.5653	0.4348	0.9404
"HALLMARK_BILE_ACID_METABOLISM"	272	0.6801	0.32	0.7813
"HALLMARK_PEROXISOME"	344	0.2469	0.7532	0.9275
"HALLMARK_ALLOGRAFT_REJECTION"	554	0.6762	0.3239	0.3652
"HALLMARK_SPERMATOGENESIS"	458	0.4927	0.5074	0.5525
"HALLMARK_KRAS_SIGNALING_UP"	640	0.6583	0.3418	0.8989
"HALLMARK_KRAS_SIGNALING_DN"	707	0.983	0.0171	0.0027
"HALLMARK_PANCREAS_BETA_CELLS"	135	0.4864	0.5137	0.3816
